
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:38:20.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   22.179   22.185   22.194   -0.472    0.649    1.179   -0.472    0.649    0.766   -0.556   -0.306    1.018    0.497
   0.10   21.312   21.323   21.407   -0.679    1.890    0.312   -0.679    1.890    0.590   -0.212   -1.283    2.065    0.714
   0.20   20.334   20.369   20.485   -1.189    2.179   -0.666   -1.189    2.179   -1.451    0.792   -2.592    3.304    1.537
   0.30   20.201   20.366   20.590   -2.583    3.029   -0.799   -2.583    3.029   -2.420    2.064   -7.824    8.243    4.223
   0.40   22.034   22.173   22.410   -2.479    3.251    1.034   -2.479    3.251    3.362   -2.563   -8.058    8.890    4.550
   0.50   22.551   22.606   22.835   -1.583    3.221    1.551   -1.583    3.221    4.995   -2.455   -5.099    7.643    3.774
   0.60   22.926   23.003   23.217   -1.888    3.140    1.926   -1.888    3.140    6.046   -3.636   -5.929    8.565    4.608
   0.70   22.275   22.378   22.652   -2.143    3.513    1.275   -2.143    3.513    4.480   -2.733   -7.527    9.279    4.588
   0.80   21.655   21.699   21.942   -1.394    3.252    0.655   -1.394    3.252    2.129   -0.912   -4.533    6.474    2.545
   0.90   21.666   21.688   21.909   -0.984    3.101    0.666   -0.984    3.101    2.064   -0.655   -3.052    5.513    1.871
   1.00   20.495   20.501   20.685   -0.500    2.750   -0.505   -0.500    2.750   -1.388    0.253   -1.376    4.033    0.985
   1.10   21.198   21.201   21.362   -0.371    2.618    0.198   -0.371    2.618    0.517   -0.073   -0.971    3.515    0.551
   1.20   21.804   21.807   21.917   -0.330    2.198    0.804   -0.330    2.198    1.768   -0.265   -0.725    2.794    0.965
   1.30   21.290   21.337   21.370    1.418    1.192    0.290    1.418    1.192    0.345    0.411    1.689    1.757    0.886
   1.40   21.242   21.353   21.391    2.179    1.270    0.242    2.179    1.270    0.307    0.527    2.768    3.210    1.417
   1.50   22.959   23.106   23.133    2.605    1.121    1.959    2.605    1.121    2.195    5.101    2.919    5.938    3.137
   1.60   24.374   24.603   24.633    3.350    1.211    3.374    3.350    1.211    4.085   11.304    4.056   12.037    6.343
   1.70   23.767   24.205   24.207    4.584   -0.291    2.767    4.584   -0.291   -0.804   12.683   -1.332   14.376    6.389
   1.80   25.590   25.850   25.851    3.657   -0.231    4.590    3.657   -0.231   -1.060   16.783   -0.845   17.245    8.419
   1.90   23.978   24.289   24.322    3.876    1.269    2.978    3.876    1.269    3.779   11.543    4.919   12.752    6.552
   2.00   24.580   24.699   24.699    2.423   -0.050    3.580    2.423   -0.050   -0.180    8.674   -0.122    9.344    4.338
   2.10   23.472   23.581   23.582    2.264   -0.134    2.472    2.264   -0.134   -0.330    5.598   -0.302    5.628    2.808
   2.20   23.365   23.412   23.412    1.481   -0.163    2.365    1.481   -0.163   -0.385    3.501   -0.241    3.905    1.765
   2.30   23.462   23.546   23.546    1.987    0.030    2.462    1.987    0.030    0.073    4.891    0.059    5.004    2.446
   2.40   24.166   24.382   24.383    3.240    0.135    3.166    3.240    0.135    0.426   10.257    0.436   10.269    5.138
   2.50   23.814   24.075   24.090    3.536    0.865    2.814    3.536    0.865    2.435    9.948    3.060   10.584    5.345
   2.60   24.272   24.570   24.589    3.817    0.945    3.272    3.817    0.945    3.093   12.491    3.608   13.086    6.682
   2.70   22.732   23.110   23.180    4.163    1.809    1.732    4.163    1.809    3.133    7.209    7.532   11.800    5.443
   2.80   23.201   23.492   23.495    3.687    0.400    2.201    3.687    0.400    0.880    8.113    1.475    9.297    4.146
   2.90   24.873   25.156   25.162    3.760   -0.555    3.873    3.760   -0.555   -2.149   14.565   -2.086   14.725    7.435
   3.00   24.672   24.858   24.859    3.033   -0.194    3.672    3.033   -0.194   -0.714   11.138   -0.590   11.361    5.588
