
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 15:20:08.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
  24.40   10.853   11.145   11.151   -2.535   -0.362   -0.547   -2.535   -0.362    0.198    1.386    0.918    3.429    0.837
  24.50   10.115   10.417   10.437   -2.490   -0.644   -1.285   -2.490   -0.644    0.827    3.198    1.603    4.132    1.836
  24.60    9.888   10.486   10.505   -3.491   -0.622   -1.512   -3.491   -0.622    0.940    5.278    2.172    7.431    2.892
  24.70   10.700   10.993   11.028   -2.523   -0.877   -0.700   -2.523   -0.877    0.614    1.766    2.212    3.812    1.448
  24.80   11.268   11.456   11.655   -2.069   -2.146   -0.132   -2.069   -2.146    0.284    0.273    4.440    4.451    2.229
  24.90   11.871   12.031   12.287   -1.956   -2.491    0.471   -1.956   -2.491   -1.174   -0.922    4.872    5.127    2.548
  25.00   11.415   11.660   11.758   -2.377   -1.513    0.015   -2.377   -1.513   -0.023   -0.036    3.597    3.971    1.798
  25.10   10.886   10.896   10.994   -0.458   -1.462   -0.514   -0.458   -1.462    0.751    0.235    0.669    1.306    0.517
  25.20   10.674   10.714   10.782   -0.927   -1.212   -0.726   -0.927   -1.212    0.880    0.673    1.123    1.428    0.789
  25.30   10.595   10.735   10.789   -1.726   -1.078   -0.805   -1.726   -1.078    0.867    1.389    1.860    2.394    1.239
  25.40   10.831   11.092   11.172   -2.388   -1.337   -0.569   -2.388   -1.337    0.760    1.358    3.194    3.908    1.777
  25.50   10.403   10.772   10.901   -2.797   -1.670   -0.997   -2.797   -1.670    1.665    2.788    4.670    5.802    2.844
  25.60   10.218   10.689   10.841   -3.138   -1.806   -1.182   -3.138   -1.806    2.134    3.708    5.665    7.251    3.550
  25.70   10.440   10.706   10.901   -2.373   -2.055   -0.960   -2.373   -2.055    1.974    2.279    4.877    5.389    2.867
  25.80   10.151   10.394   10.636   -2.236   -2.255   -1.249   -2.236   -2.255    2.818    2.793    5.042    5.823    3.208
  25.90   10.067   10.472   10.729   -2.885   -2.331   -1.333   -2.885   -2.331    3.107    3.844    6.724    7.765    4.172
  26.00   10.250   10.834   11.120   -3.508   -2.507   -1.150   -3.508   -2.507    2.883    4.034    8.796    9.958    5.049
  26.10   10.762   11.274   11.397   -3.358   -1.671   -0.638   -3.358   -1.671    1.066    2.141    5.613    7.239    3.051
  26.20   10.566   10.990   11.045   -3.023   -1.101   -0.834   -3.023   -1.101    0.918    2.521    3.329    5.524    2.138
  26.30   10.971   11.198   11.267   -2.243   -1.245   -0.429   -2.243   -1.245    0.534    0.963    2.792    3.383    1.501
  26.40   11.022   11.245   11.248   -2.227   -0.246   -0.378   -2.227   -0.246    0.093    0.841    0.547    2.582    0.504
  26.50   10.787   11.146   11.161   -2.807   -0.572   -0.613   -2.807   -0.572    0.351    1.721    1.606    4.290    1.190
  26.60   11.137   11.520   11.591   -2.945   -1.280   -0.263   -2.945   -1.280    0.336    0.774    3.772    5.192    1.932
  26.70   10.986   11.318   11.447   -2.723   -1.711   -0.414   -2.723   -1.711    0.708    1.128    4.659    5.257    2.423
  26.80   10.098   10.698   10.808   -3.532   -1.540   -1.302   -3.532   -1.540    2.006    4.599    5.441    8.271    3.701
  26.90   10.087   10.382   10.489   -2.456   -1.499   -1.313   -2.456   -1.499    1.968    3.225    3.682    5.002    2.638
  27.00    9.371    9.602    9.844   -2.092   -2.172   -2.029   -2.092   -2.172    4.407    4.246    4.545    6.606    3.811
  27.10    9.189    9.432    9.532   -2.125   -1.382   -2.211   -2.125   -1.382    3.056    4.699    2.938    5.658    3.164
  27.20    9.494    9.634    9.729   -1.642   -1.355   -1.906   -1.642   -1.355    2.583    3.130    2.224    4.082    2.314
  27.30    9.393    9.423    9.610   -0.755   -1.883   -2.007   -0.755   -1.883    3.778    1.516    1.422    4.071    2.156
  27.40    8.960    9.017    9.066   -1.005   -0.943   -2.440   -1.005   -0.943    2.300    2.452    0.948    3.925    1.747
  27.50    9.115    9.266    9.292   -1.669   -0.687   -2.285   -1.669   -0.687    1.571    3.814    1.147    4.240    2.141
  27.60    9.575    9.910    9.969   -2.557   -1.079   -1.825   -2.557   -1.079    1.969    4.666    2.759    5.515    2.883
  27.70    9.248    9.475    9.533   -2.061   -1.051   -2.152   -2.061   -1.051    2.262    4.436    2.167    4.993    2.715
  27.80    9.218    9.519    9.581   -2.374   -1.084   -2.182   -2.374   -1.084    2.366    5.180    2.574    5.786    3.125
  27.90    8.909    9.182    9.229   -2.223   -0.926   -2.491   -2.223   -0.926    2.305    5.538    2.058    6.002    3.171
  28.00    9.035    9.270    9.324   -2.073   -1.001   -2.365   -2.073   -1.001    2.367    4.904    2.075    5.447    2.914
  28.10    8.768    9.001    9.116   -2.035   -1.444   -2.632   -2.035   -1.444    3.801    5.355    2.938    6.576    3.597
  28.20    9.081    9.145    9.311   -1.081   -1.750   -2.319   -1.081   -1.750    4.059    2.507    1.892    4.805    2.566
  28.30    9.541    9.659    9.758   -1.508   -1.382   -1.859   -1.508   -1.382    2.570    2.803    2.084    3.820    2.168
  28.40    9.271    9.390    9.449   -1.491   -1.057   -2.129   -1.491   -1.057    2.252    3.175    1.576    3.937    2.099
  28.50    9.247    9.318    9.415   -1.145   -1.351   -2.153   -1.145   -1.351    2.908    2.464    1.546    3.884    2.056
  28.60    8.969    9.236    9.237   -2.205    0.110   -2.431   -2.205    0.110   -0.268    5.358   -0.243    5.390    2.685
  28.70    9.719   10.048   10.058   -2.547    0.466   -1.681   -2.547    0.466   -0.783    4.282   -1.186    4.766    2.256
  28.80    9.316    9.464    9.465   -1.672   -0.081   -2.084   -1.672   -0.081    0.168    3.485    0.135    3.573    1.746
  28.90    9.620    9.702    9.710   -1.252   -0.412   -1.780   -1.252   -0.412    0.734    2.229    0.517    2.453    1.201
  29.00    9.818    9.835    9.836   -0.575    0.099   -1.582   -0.575    0.099   -0.156    0.910   -0.057    1.421    0.462
  29.10    9.605    9.642    9.644   -0.846   -0.168   -1.795   -0.846   -0.168    0.302    1.518    0.142    1.983    0.777
  29.20    9.581    9.621    9.641   -0.876   -0.625   -1.819   -0.876   -0.625    1.137    1.593    0.547    2.233    1.016
  29.30    9.478    9.570    9.588   -1.327    0.592   -1.922   -1.327    0.592   -1.138    2.551   -0.786    2.903    1.451
  29.40    9.547    9.594    9.717   -0.949    1.539   -1.853   -0.949    1.539   -2.850    1.758   -1.460    3.350    1.827
  29.50    9.798    9.835    9.838   -0.857    0.245   -1.602   -0.857    0.245   -0.393    1.374   -0.210    1.681    0.722
  29.60    9.831    9.923    9.925   -1.348    0.173   -1.569   -1.348    0.173   -0.272    2.115   -0.234    2.154    1.073
  29.70   10.514   10.532   10.533   -0.618    0.168   -0.886   -0.618    0.168   -0.149    0.548   -0.104    0.598    0.288
  29.80   10.278   10.279   10.339   -0.149   -1.111   -1.122   -0.149   -1.111    1.247    0.168    0.166    1.258    0.635
  29.90    9.503    9.504    9.533    0.161   -0.740   -1.897    0.161   -0.740    1.404   -0.306   -0.119    2.086    0.721
  30.00    9.453    9.463    9.479    0.428   -0.546   -1.947    0.428   -0.546    1.064   -0.834   -0.234    2.136    0.686
  30.10    8.753    8.764    8.792   -0.442   -0.709   -2.647   -0.442   -0.709    1.878    1.170    0.313    3.854    1.117
  30.20    8.685    8.774    8.777   -1.246   -0.216   -2.715   -1.246   -0.216    0.587    3.383    0.269    4.485    1.722
  30.30    8.572    8.705    8.716   -1.520   -0.438   -2.828   -1.520   -0.438    1.240    4.299    0.666    5.251    2.262
  30.40    8.338    8.480    8.532   -1.547   -0.934   -3.062   -1.547   -0.934    2.861    4.737    1.446    6.321    2.860
  30.50    8.777    9.156    9.240   -2.606   -1.248   -2.623   -2.606   -1.248    3.274    6.837    3.253    7.616    4.125
  30.60    8.548    8.774    8.932   -1.978   -1.673   -2.852   -1.978   -1.673    4.771    5.642    3.310    7.423    4.048
  30.70    8.418    8.742    8.839   -2.358   -1.302   -2.982   -2.358   -1.302    3.881    7.030    3.069    8.072    4.298
  30.80    8.452    8.616    8.678   -1.674   -1.038   -2.948   -1.674   -1.038    3.061    4.936    1.738    6.287    3.031
  30.90    8.123    8.317    8.317   -1.784   -0.035   -3.277   -1.784   -0.035    0.114    5.845    0.062    6.960    2.923
  31.00    8.788    8.975    8.982   -1.823    0.360   -2.612   -1.823    0.360   -0.941    4.763   -0.656    5.139    2.450
  31.10    8.551    8.875    8.875   -2.376   -0.071   -2.849   -2.376   -0.071    0.203    6.771    0.169    6.885    3.388
  31.20    9.484    9.850    9.854   -2.659   -0.296   -1.916   -2.659   -0.296    0.566    5.094    0.786    5.414    2.593
  31.30   10.245   10.529   10.532   -2.429   -0.263   -1.155   -2.429   -0.263    0.304    2.805    0.639    3.651    1.446
  31.40   10.224   10.409   10.411   -1.956   -0.212   -1.176   -1.956   -0.212    0.249    2.301    0.414    2.627    1.176
  31.50   10.200   10.488   10.498   -2.439    0.473   -1.200   -2.439    0.473   -0.568    2.925   -1.154    3.805    1.598
  31.60   10.143   10.173   10.180   -0.788    0.378   -1.257   -0.788    0.378   -0.475    0.990   -0.297    1.172    0.569
  31.70    9.298    9.313    9.313   -0.533    0.047   -2.102   -0.533    0.047   -0.098    1.120   -0.025    2.353    0.562
  31.80    8.742    8.760    8.762   -0.564    0.182   -2.658   -0.564    0.182   -0.485    1.499   -0.103    3.709    0.789
  31.90    8.817    8.877    8.891   -1.034    0.496   -2.583   -1.034    0.496   -1.281    2.671   -0.513    3.994    1.503
  32.00    8.877    9.003    9.013   -1.501    0.434   -2.523   -1.501    0.434   -1.095    3.788   -0.652    4.405    1.999
  32.10    8.802    8.882    8.904   -1.190    0.627   -2.598   -1.190    0.627   -1.630    3.091   -0.746    4.280    1.786
  32.20    9.375    9.441    9.441   -1.115    0.008   -2.025   -1.115    0.008   -0.016    2.258   -0.009    2.672    1.129
