
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:39:32.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   26.614   26.698   26.699    2.112   -0.249    3.614    2.112   -0.249   -0.898    7.632   -0.525    8.792    3.852
   0.10   25.813   25.913   25.921    2.275   -0.655    2.813    2.275   -0.655   -1.841    6.399   -1.490    6.758    3.412
   0.20   25.729   25.754   25.754    1.142   -0.103    2.729    1.142   -0.103   -0.282    3.117   -0.118    4.381    1.566
   0.30   25.198   25.341   25.342    2.693   -0.155    2.198    2.693   -0.155   -0.342    5.919   -0.419    6.054    2.972
   0.40   24.465   24.590   24.642    2.474    1.603    1.465    2.474    1.603    2.348    3.626    3.965    5.419    2.932
   0.50   24.897   24.931   25.045    1.307    2.389    1.897    1.307    2.389    4.532    2.479    3.123    5.507    3.018
   0.60   23.037   23.044   23.068    0.555    1.057    0.037    0.555    1.057    0.039    0.021    0.587    0.714    0.294
   0.70   23.623   23.678   23.685    1.606    0.604    0.623    1.606    0.604    0.376    1.000    0.970    1.665    0.722
   0.80   23.390   23.525   23.581    2.520    1.623    0.390    2.520    1.623    0.633    0.983    4.088    4.567    2.126
   0.90   24.446   24.608   24.609    2.826   -0.167    1.446    2.826   -0.167   -0.241    4.085   -0.472    5.052    2.060
   1.00   24.805   25.107   25.218    3.884   -2.363    1.805    3.884   -2.363   -4.264    7.009   -9.176   11.961    6.154
   1.10   22.442   22.599   22.743    2.654   -2.558   -0.558    2.654   -2.558    1.427   -1.481   -6.789    6.949    3.547
   1.20   23.030   23.070   23.102    1.353   -1.218    0.030    1.353   -1.218   -0.037    0.041   -1.647    1.657    0.824
   1.30   23.931   24.005   24.026    1.886   -0.997    0.931    1.886   -0.997   -0.928    1.755   -1.881    2.709    1.367
   1.40   24.476   24.602   24.695    2.487   -2.138    1.476    2.487   -2.138   -3.156    3.672   -5.316    6.467    3.595
   1.50   24.676   24.692   24.746    0.894   -1.630    1.676    0.894   -1.630   -2.733    1.499   -1.458    3.134    1.720
   1.60   24.327   24.375   24.396    1.525   -1.004    1.327    1.525   -1.004   -1.333    2.024   -1.532    2.548    1.434
   1.70   25.977   26.033   26.039    1.704   -0.568    2.977    1.704   -0.568   -1.691    5.074   -0.968    6.045    2.718
   1.80   25.755   25.866   25.993    2.399   -2.568    2.755    2.399   -2.568   -7.074    6.608   -6.160    9.968    5.737
   1.90   24.942   25.007   25.116    1.802   -2.338    1.942    1.802   -2.338   -4.539    3.499   -4.212    6.241    3.556
   2.00   24.474   24.643   24.830    2.874   -3.044    1.474    2.874   -3.044   -4.488    4.237   -8.748    9.849    5.353
   2.10   24.605   24.777   24.956    2.916   -2.982    1.605    2.916   -2.982   -4.786    4.680   -8.695    9.985    5.487
   2.20   24.077   24.119   24.121    1.433   -0.314    1.077    1.433   -0.314   -0.338    1.543   -0.450    1.656    0.821
   2.30   23.971   24.047   24.049    1.909    0.278    0.971    1.909    0.278    0.270    1.854    0.530    2.332    0.973
   2.40   23.856   23.894   23.894    1.338    0.050    0.856    1.338    0.050    0.043    1.146    0.067    1.263    0.574
   2.50   24.363   24.366   24.375    0.339   -0.666    1.363    0.339   -0.666   -0.908    0.462   -0.226    1.209    0.522
   2.60   24.703   24.705   24.708    0.329    0.408    1.703    0.329    0.408    0.694    0.560    0.134    1.587    0.451
   2.70   24.708   24.854   24.855    2.691    0.209    1.708    2.691    0.209    0.357    4.596    0.562    5.100    2.322
   2.80   24.175   24.408   24.429    3.365   -0.999    1.175    3.365   -0.999   -1.174    3.955   -3.362    6.852    2.661
   2.90   25.428   25.595   25.598    2.924   -0.396    2.428    2.924   -0.396   -0.962    7.098   -1.158    7.300    3.628
   3.00   24.170   24.342   24.356    2.893    0.820    1.170    2.893    0.820    0.959    3.384    2.372    5.205    2.121
   3.10   26.187   26.697   26.714    5.191    0.965    3.187    5.191    0.965    3.075   16.545    5.008   19.018    8.779
   3.20   26.143   26.792   26.801    5.861    0.683    3.143    5.861    0.683    2.148   18.423    4.005   22.349    9.488
   3.30   26.115   26.673   26.736    5.427    1.831    3.115    5.427    1.831    5.704   16.905    9.937   21.253   10.211
   3.40   25.782   26.381   26.517    5.594    2.675    2.782    5.594    2.675    7.440   15.559   14.962   23.090   11.416
   3.50   25.484   25.924   26.011    4.757    2.116    2.484    4.757    2.116    5.256   11.818   10.067   16.641    8.195
   3.60   25.493   26.218   26.354    6.124    2.671    2.493    6.124    2.671    6.658   15.267   16.355   25.425   11.672
   3.70   24.572   25.455   25.520    6.648    1.810    1.572    6.648    1.810    2.845   10.450   12.031   24.971    8.094
   3.80   22.799   23.716   23.743    6.531    1.137   -0.201    6.531    1.137   -0.229   -1.313    7.423   21.990    3.771
   3.90   22.233   22.996   23.027    5.875    1.186   -0.767    5.875    1.186   -0.910   -4.505    6.967   18.253    4.173
   4.00   22.881   23.366   23.468    4.739    2.176   -0.119    4.739    2.176   -0.259   -0.565   10.314   13.604    5.166
   4.10   20.471   20.922   21.080    4.319    2.572   -2.529    4.319    2.572   -6.504  -10.922   11.110   15.834    8.441
   4.20   21.951   22.415   22.579    4.535    2.712   -1.049    4.535    2.712   -2.844   -4.756   12.302   14.513    6.746
   4.30   21.087   21.683   21.927    5.048    3.263   -1.913    5.048    3.263   -6.241   -9.656   16.473   19.896   10.044
   4.40   23.037   23.880   24.276    6.291    4.363    0.037    6.291    4.363    0.161    0.232   27.444   29.304   13.723
   4.50   23.178   24.465   24.955    7.829    4.923    0.178    7.829    4.923    0.878    1.396   38.548   42.786   19.292
   4.60   21.949   23.062   23.407    7.079    4.006   -1.051    7.079    4.006   -4.212   -7.441   28.361   33.632   14.811
   4.70   23.048   23.792   23.835    5.904    1.444    0.048    5.904    1.444    0.069    0.281    8.524   18.470    4.264
   4.80   24.477   24.755   24.864    3.697    2.323    1.477    3.697    2.323    3.433    5.462    8.588   10.623    5.371
   4.90   23.251   23.549   23.584    3.731    1.292    0.251    3.731    1.292    0.324    0.937    4.820    7.827    2.460
   5.00   22.341   22.668   22.854    3.836    2.906   -0.659    3.836    2.906   -1.914   -2.526   11.145   11.794    5.793
   5.10   23.563   23.879   23.932    3.868    1.593    0.563    3.868    1.593    0.897    2.179    6.161    8.908    3.298
   5.20   25.097   25.341   25.360    3.514    0.970    2.097    3.514    0.970    2.035    7.367    3.410    8.843    4.185
   5.30   23.805   23.964   24.051    2.754    2.044    0.805    2.754    2.044    1.645    2.217    5.630    6.206    3.135
   5.40   24.833   24.910   25.099    1.962    3.072    1.833    1.962    3.072    5.631    3.596    6.027    8.323    4.499
   5.50   24.954   25.301   25.367    4.176    1.828    1.954    4.176    1.828    3.572    8.158    7.635   12.298    5.865
   5.60   23.814   24.057   24.073    3.412    0.865    0.814    3.412    0.865    0.704    2.778    2.952    6.528    2.057
   5.70   23.462   24.205   24.205    5.949    0.075    0.462    5.949    0.075    0.035    2.749    0.449   17.806    1.393
   5.80   24.035   24.829   24.923    6.231    2.163    1.035    6.231    2.163    2.238    6.447   13.478   22.285    7.554
   5.90   23.903   24.620   24.859    5.896    3.443    0.903    5.896    3.443    3.110    5.326   20.301   23.715   10.608
   6.00   24.026   24.781   24.949    6.071    2.890    1.026    6.071    2.890    2.966    6.230   17.544   23.129    9.426
   6.10   24.297   24.924   25.007    5.558    2.029    1.297    5.558    2.029    2.631    7.208   11.276   18.347    6.820
   6.20   23.656   23.888   24.036    3.328    2.656    0.656    3.328    2.656    1.741    2.181    8.837    9.278    4.634
   6.30   24.568   25.001   25.062    4.632    1.744    1.568    4.632    1.744    2.736    7.264    8.080   13.478    5.602
   6.40   23.738   24.137   24.137    4.367    0.155    0.738    4.367    0.155    0.114    3.224    0.675    9.818    1.648
   6.50   23.512   24.381   24.381    6.452    0.059    0.512    6.452    0.059    0.030    3.305    0.383   20.946    1.664
   6.60   23.883   24.599   24.614    5.893    0.872    0.883    5.893    0.872    0.770    5.201    5.141   18.132    3.677
   6.70   22.907   23.522   23.558    5.342    1.308   -0.093    5.342    1.308   -0.121   -0.495    6.987   15.128    3.503
   6.80   21.925   22.795   22.868    6.240    1.827   -1.075    6.240    1.827   -1.965   -6.710   11.402   21.716    6.687
   6.90   23.327   24.097   24.141    6.043    1.448    0.327    6.043    1.448    0.474    1.978    8.751   19.359    4.492
   7.00   24.252   25.280   25.286    7.135    0.562    1.252    7.135    0.562    0.704    8.934    4.009   26.393    4.909
   7.10   24.709   26.285   26.313    8.966    1.197    1.709    8.966    1.197    2.045   15.323   10.729   42.369    9.408
