
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:37:08.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   20.044   20.048   20.060   -0.399    0.689    1.044   -0.399    0.689    0.720   -0.416   -0.275    0.862    0.438
   0.10   19.288   19.297   19.382   -0.586    1.814    0.288   -0.586    1.814    0.523   -0.169   -1.063    1.859    0.598
   0.20   18.434   18.464   18.581   -1.045    2.082   -0.566   -1.045    2.082   -1.178    0.591   -2.176    2.874    1.272
   0.30   18.339   18.483   18.702   -2.299    2.854   -0.661   -2.299    2.854   -1.886    1.519   -6.562    6.935    3.498
   0.40   20.008   20.129   20.360   -2.204    3.058    1.008   -2.204    3.058    3.084   -2.223   -6.742    7.615    3.870
   0.50   20.488   20.536   20.759   -1.396    3.034    1.488   -1.396    3.034    4.516   -2.079   -4.237    6.685    3.266
   0.60   20.834   20.901   21.110   -1.669    2.962    1.834   -1.669    2.962    5.433   -3.061   -4.943    7.460    3.979
   0.70   20.251   20.340   20.605   -1.895    3.298    1.251   -1.895    3.298    4.126   -2.371   -6.249    8.015    3.927
   0.80   19.687   19.725   19.961   -1.218    3.061    0.687   -1.218    3.061    2.104   -0.837   -3.727    5.662    2.180
   0.90   19.685   19.704   19.919   -0.845    2.920    0.685   -0.845    2.920    2.002   -0.579   -2.468    4.857    1.615
   1.00   18.616   18.620   18.801   -0.405    2.599   -0.384   -0.405    2.599   -0.998    0.156   -1.053    3.534    0.730
   1.10   19.231   19.233   19.392   -0.284    2.474    0.231   -0.284    2.474    0.572   -0.066   -0.703    3.128    0.454
   1.20   19.767   19.768   19.878   -0.242    2.089    0.767   -0.242    2.089    1.602   -0.186   -0.506    2.505    0.845
   1.30   19.300   19.346   19.381    1.336    1.174    0.300    1.336    1.174    0.352    0.400    1.568    1.626    0.828
   1.40   19.251   19.358   19.397    2.027    1.238    0.251    2.027    1.238    0.311    0.510    2.509    2.851    1.289
   1.50   20.785   20.924   20.953    2.415    1.097    1.785    2.415    1.097    1.958    4.310    2.649    5.110    2.712
   1.60   22.041   22.257   22.288    3.091    1.171    3.041    3.091    1.171    3.562    9.400    3.620   10.087    5.342
   1.70   21.477   21.885   21.886    4.205   -0.189    2.477    4.205   -0.189   -0.467   10.417   -0.793   11.928    5.229
   1.80   23.104   23.349   23.350    3.374   -0.139    4.104    3.374   -0.139   -0.571   13.848   -0.469   14.124    6.934
   1.90   21.654   21.947   21.980    3.573    1.210    2.654    3.573    1.210    3.212    9.484    4.326   10.639    5.454
   2.00   22.209   22.324   22.324    2.268    0.018    3.209    2.268    0.018    0.057    7.276    0.041    7.718    3.638
   2.10   21.239   21.345   21.346    2.126   -0.061    2.239    2.126   -0.061   -0.136    4.761   -0.129    4.770    2.382
   2.20   21.174   21.222   21.222    1.423   -0.088    2.174    1.423   -0.088   -0.192    3.095   -0.126    3.381    1.552
   2.30   21.288   21.371   21.371    1.882    0.085    2.288    1.882    0.085    0.194    4.305    0.160    4.391    2.156
   2.40   21.938   22.144   22.145    3.012    0.181    2.938    3.012    0.181    0.531    8.851    0.544    8.870    4.442
   2.50   21.633   21.880   21.896    3.282    0.841    2.633    3.282    0.841    2.214    8.641    2.761    9.206    4.669
   2.60   22.051   22.333   22.352    3.539    0.915    3.051    3.539    0.915    2.791   10.797    3.237   11.335    5.806
   2.70   20.666   21.022   21.090    3.852    1.693    1.666    3.852    1.693    2.820    6.416    6.522   10.240    4.787
   2.80   21.083   21.360   21.364    3.426    0.420    2.083    3.426    0.420    0.875    7.137    1.439    8.127    3.666
   2.90   22.580   22.849   22.853    3.495   -0.443    3.580    3.495   -0.443   -1.588   12.510   -1.550   12.612    6.353
   3.00   22.383   22.562   22.563    2.843   -0.118    3.383    2.843   -0.118   -0.400    9.616   -0.336    9.769    4.815
   3.10   22.509   22.848   22.850    3.924    0.294    3.509    3.924    0.294    1.031   13.768    1.153   13.897    6.927
   3.20   21.957   22.410   22.462    4.480    1.532    2.957    4.480    1.532    4.532   13.248    6.864   15.581    7.797
   3.30   22.690   23.270   23.318    5.163    1.498    3.690    5.163    1.498    5.526   19.051    7.734   21.258   10.645
   3.40   23.032   23.388   23.469    4.066    1.944    4.032    4.066    1.944    7.839   16.392    7.906   18.283    9.908
   3.50   22.840   23.456   23.534    5.342    1.908    3.840    5.342    1.908    7.328   20.512   10.194   23.461   12.025
   3.60   22.647   23.636   23.839    6.766    3.105    3.647    6.766    3.105   11.323   24.673   21.010   34.360   17.164
   3.70   23.984   25.044   25.109    7.209    1.802    4.984    7.209    1.802    8.979   35.929   12.988   40.028   19.623
   3.80   23.842   25.079   25.091    7.778   -0.767    4.842    7.778   -0.767   -3.713   37.667   -5.964   42.271   19.158
   3.90   22.708   23.790   23.812    7.092   -1.039    3.708    7.092   -1.039   -3.851   26.297   -7.365   32.560   13.789
   4.00   23.162   24.106   24.115    6.678   -0.675    4.162    6.678   -0.675   -2.809   27.794   -4.507   31.185   14.148
   4.10   25.016   25.652   25.686    5.679   -1.314    6.016    5.679   -1.314   -7.907   34.161   -7.465   35.082   17.925
   4.20   24.671   25.126   25.152    4.762   -1.134    5.671    4.762   -1.134   -6.430   27.005   -5.400   28.061   14.140
   4.30   24.234   24.640   24.674    4.454   -1.300    5.234    4.454   -1.300   -6.805   23.312   -5.791   24.462   12.483
   4.40   23.851   24.195   24.238    4.070   -1.442    4.851    4.070   -1.442   -6.994   19.742   -5.868   21.086   10.875
   4.50   22.675   22.988   22.994    3.777    0.551    3.675    3.777    0.551    2.024   13.882    2.081   14.039    7.091
   4.60   23.763   23.973   24.009    3.167    1.315    4.763    3.167    1.315    6.264   15.085    4.165   17.223    8.428
   4.70   24.013   24.207   24.226    3.057    0.967    5.013    3.057    0.967    4.846   15.326    2.955   17.707    8.172
   4.80   23.134   23.442   23.452    3.790    0.690    4.134    3.790    0.690    2.853   15.667    2.616   15.965    8.069
   4.90   22.961   23.089   23.103    2.426    0.823    3.961    2.426    0.823    3.260    9.611    1.997   11.126    5.172
   5.00   23.043   23.207   23.213    2.756   -0.538    4.043    2.756   -0.538   -2.175   11.142   -1.483   12.115    5.725
   5.10   22.396   22.487   22.498    2.015   -0.723    3.396    2.015   -0.723   -2.457    6.842   -1.457    8.058    3.707
   5.20   23.393   23.499   23.504    2.233    0.469    4.393    2.233    0.469    2.058    9.810    1.046   12.252    5.039
