
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:34:45.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   5.00   16.108   16.174   16.338   -1.457    2.311    1.108   -1.457    2.311    2.561   -1.614   -3.367    4.346    2.264
   5.10   15.528   15.543   15.749   -0.686    2.541    0.528   -0.686    2.541    1.340   -0.362   -1.743    3.602    1.114
   5.20   14.987   14.988   15.078   -0.117    1.644   -0.013   -0.117    1.644   -0.021    0.001   -0.193    1.359    0.097
   5.30   14.942   14.943   15.036   -0.175    1.670   -0.058   -0.175    1.670   -0.097    0.010   -0.292    1.412    0.154
   5.40   16.009   16.019   16.054   -0.577    1.053    1.009   -0.577    1.053    1.062   -0.582   -0.607    1.229    0.677
   5.50   16.875   16.884   16.890   -0.533    0.464    1.875   -0.533    0.464    0.871   -1.000   -0.248    2.008    0.674
   5.60   15.983   16.028   16.089   -1.199    1.401    0.983   -1.199    1.401    1.377   -1.179   -1.679    2.183    1.235
   5.70   15.607   15.609   15.656   -0.278    1.202    0.607   -0.278    1.202    0.730   -0.169   -0.334    0.945    0.410
   5.80   15.435   15.436   15.528    0.176    1.688    0.435    0.176    1.688    0.734    0.076    0.297    1.535    0.398
   5.90   15.883   15.883   15.939   -0.117    1.329    0.883   -0.117    1.329    1.173   -0.103   -0.155    1.280    0.594
   6.00   17.278   17.309   17.356   -1.023    1.278    2.278   -1.023    1.278    2.911   -2.330   -1.307    3.934    1.975
   6.10   16.446   16.545   16.587   -1.807    1.189    1.446   -1.807    1.189    1.719   -2.613   -2.149    3.385    1.897
   6.20   16.278   16.335   16.336   -1.368    0.112    1.278   -1.368    0.112    0.143   -1.748   -0.153    1.759    0.880
   6.30   16.882   16.997   16.998   -1.981    0.079    1.882   -1.981    0.079    0.148   -3.727   -0.156    3.736    1.867
   6.40   16.647   16.755   16.765   -1.903    0.572    1.647   -1.903    0.572    0.941   -3.134   -1.088    3.330    1.724
