
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:29:57.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   12.676   12.795   12.848   -1.739    1.164    1.676   -1.739    1.164    1.951   -2.916   -2.024    3.595    2.025
   0.10   12.661   12.721   12.776   -1.226    1.185    1.661   -1.226    1.185    1.969   -2.037   -1.453    2.834    1.592
   0.20   12.428   12.484   12.528   -1.185    1.051    1.428   -1.185    1.051    1.500   -1.691   -1.245    2.273    1.290
   0.30   12.169   12.237   12.307   -1.288    1.317    1.169   -1.288    1.317    1.540   -1.505   -1.697    2.380    1.371
   0.40   12.062   12.120   12.236   -1.187    1.683    1.062   -1.187    1.683    1.787   -1.260   -1.997    2.684    1.480
   0.50   11.708   11.833   12.078   -1.718    2.420    0.708   -1.718    2.420    1.714   -1.217   -4.158    4.655    2.329
   0.60   12.017   12.114   12.344   -1.525    2.373    1.017   -1.525    2.373    2.414   -1.551   -3.618    4.495    2.309
   0.70   12.030   12.233   12.503   -2.219    2.585    1.030   -2.219    2.585    2.664   -2.286   -5.735    6.333    3.362
   0.80   11.591   11.831   12.185   -2.369    2.918    0.591   -2.369    2.918    1.725   -1.400   -6.911    7.236    3.630
   0.90   11.371   11.570   11.834   -2.140    2.483    0.371   -2.140    2.483    0.920   -0.793   -5.312    5.440    2.725
   1.00   11.258   11.393   11.681   -1.749    2.575    0.258   -1.749    2.575    0.665   -0.452   -4.503    4.878    2.287
   1.10   11.638   11.728   12.084   -1.448    2.912    0.638   -1.448    2.912    1.859   -0.924   -4.218    5.493    2.350
   1.20   11.920   11.985   12.324   -1.255    2.871    0.920   -1.255    2.871    2.640   -1.154   -3.602    5.331    2.306
   1.30   11.714   11.822   12.115   -1.597    2.644    0.714   -1.597    2.644    1.888   -1.140   -4.223    5.026    2.382
   1.40   12.142   12.199   12.444   -1.174    2.460    1.142   -1.174    2.460    2.809   -1.340   -2.887    4.367    2.123
   1.50   12.472   12.494   12.666   -0.748    2.080    1.472   -0.748    2.080    3.061   -1.102   -1.557    3.526    1.803
   1.60   11.989   12.084   12.201   -1.511    1.686    0.989   -1.511    1.686    1.667   -1.494   -2.547    3.052    1.696
   1.70   12.410   12.454   12.590   -1.047    1.846    1.410   -1.047    1.846    2.603   -1.476   -1.934    3.247    1.781
   1.80   11.978   11.980   12.086   -0.222    1.595    0.978   -0.222    1.595    1.560   -0.217   -0.354    1.775    0.807
   1.90   12.187   12.187   12.478    0.054    2.679    1.187    0.054    2.679    3.178    0.064    0.143    4.293    1.591
   2.00   12.749   12.755   13.032    0.370    2.673    1.749    0.370    2.673    4.676    0.647    0.989    5.171    2.412
   2.10   12.329   12.329   12.385    0.112    1.173    1.329    0.112    1.173    1.558    0.149    0.132    1.577    0.785
   2.20   11.889   11.900   11.902   -0.492    0.253    0.889   -0.492    0.253    0.225   -0.437   -0.124    0.548    0.254
   2.30   12.791   12.837   12.838   -1.087   -0.104    1.791   -1.087   -0.104   -0.186   -1.946    0.113    2.200    0.979
   2.40   13.261   13.405   13.405   -1.962    0.020    2.261   -1.962    0.020    0.045   -4.434   -0.039    4.479    2.217
   2.50   13.363   13.422   13.433   -1.257   -0.533    2.363   -1.257   -0.533   -1.259   -2.971    0.670    3.725    1.648
   2.60   12.845   12.895   12.906   -1.134   -0.542    1.845   -1.134   -0.542   -1.001   -2.093    0.615    2.493    1.200
   2.70   13.593   13.678   13.698   -1.528   -0.740    2.593   -1.528   -0.740   -1.917   -3.962    1.130    4.802    2.272
