
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:40:43.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   29.048   29.129   29.130    2.177   -0.269    4.048    2.177   -0.269   -1.091    8.810   -0.586   10.597    4.448
   0.10   28.171   28.269   28.278    2.354   -0.717    3.171    2.354   -0.717   -2.275    7.464   -1.689    8.055    3.992
   0.20   28.090   28.112   28.112    1.111   -0.119    3.090    1.111   -0.119   -0.367    3.433   -0.132    5.397    1.728
   0.30   27.512   27.655   27.656    2.807   -0.181    2.512    2.807   -0.181   -0.456    7.053   -0.509    7.113    3.543
   0.40   26.703   26.826   26.882    2.566    1.734    1.703    2.566    1.734    2.953    4.370    4.450    6.246    3.450
   0.50   27.165   27.195   27.319    1.287    2.592    2.165    1.287    2.592    5.611    2.786    3.335    6.530    3.548
   0.60   25.115   25.119   25.145    0.462    1.139    0.115    0.462    1.139    0.130    0.053    0.526    0.762    0.272
   0.70   25.735   25.785   25.793    1.610    0.649    0.735    1.610    0.649    0.477    1.183    1.044    1.776    0.824
   0.80   25.455   25.588   25.649    2.607    1.769    0.455    2.607    1.769    0.805    1.187    4.612    5.067    2.415
   0.90   26.593   26.755   26.755    2.940   -0.176    1.593    2.940   -0.176   -0.280    4.682   -0.518    5.605    2.360
   1.00   26.976   27.286   27.406    4.096   -2.563    1.976    4.096   -2.563   -5.066    8.095  -10.500   13.627    7.097
   1.10   24.390   24.544   24.700    2.748   -2.770   -0.610    2.748   -2.770    1.691   -1.678   -7.614    7.800    3.989
   1.20   25.044   25.079   25.112    1.323   -1.303    0.044    1.323   -1.303   -0.057    0.058   -1.724    1.726    0.863
   1.30   26.033   26.102   26.124    1.906   -1.061    1.033    1.906   -1.061   -1.095    1.968   -2.021    2.912    1.513
   1.40   26.612   26.735   26.834    2.562   -2.305    1.612    2.562   -2.305   -3.715    4.129   -5.906    7.238    4.054
   1.50   26.788   26.801   26.858    0.817   -1.750    1.788    0.817   -1.750   -3.130    1.461   -1.430    3.464    1.869
   1.60   26.349   26.392   26.413    1.506   -1.067    1.349    1.506   -1.067   -1.439    2.031   -1.607    2.613    1.482
   1.70   28.102   28.154   28.160    1.700   -0.589    3.102    1.700   -0.589   -1.828    5.273   -1.001    6.430    2.835
   1.80   27.828   27.936   28.073    2.458   -2.772    2.828    2.458   -2.772   -7.838    6.949   -6.812   10.860    6.248
   1.90   26.930   26.990   27.107    1.801   -2.519    1.930    1.801   -2.519   -4.860    3.475   -4.537    6.656    3.751
   2.00   26.420   26.587   26.790    2.972   -3.293    1.420    2.972   -3.293   -4.677    4.222   -9.788   10.848    5.821
   2.10   26.571   26.742   26.936    3.016   -3.233    1.571    3.016   -3.233   -5.079    4.739   -9.753   11.010    5.987
   2.20   26.010   26.047   26.050    1.391   -0.329    1.010    1.391   -0.329   -0.333    1.405   -0.458    1.532    0.757
   2.30   25.918   25.988   25.990    1.910    0.306    0.918    1.910    0.306    0.281    1.754    0.585    2.293    0.935
   2.40   25.808   25.840   25.840    1.283    0.051    0.808    1.283    0.051    0.041    1.037    0.065    1.151    0.520
   2.50   26.364   26.364   26.375    0.186   -0.738    1.364    0.186   -0.738   -1.006    0.254   -0.137    1.219    0.523
   2.60   26.723   26.723   26.727    0.171    0.430    1.723    0.171    0.430    0.741    0.295    0.074    1.591    0.400
   2.70   26.714   26.855   26.856    2.751    0.208    1.714    2.751    0.208    0.356    4.714    0.571    5.274    2.381
   2.80   26.118   26.349   26.373    3.484   -1.117    1.118    3.484   -1.117   -1.249    3.893   -3.893    7.318    2.823
   2.90   27.491   27.654   27.658    2.995   -0.466    2.491    2.995   -0.466   -1.161    7.461   -1.396    7.697    3.840
   3.00   26.139   26.305   26.319    2.955    0.853    1.139    2.955    0.853    0.971    3.366    2.520    5.379    2.158
   3.10   28.389   28.911   28.928    5.465    1.001    3.389    5.465    1.001    3.394   18.524    5.473   21.181    9.806
   3.20   28.377   29.045   29.053    6.193    0.684    3.377    6.193    0.684    2.311   20.914    4.239   25.115   10.732
   3.30   28.372   28.942   29.006    5.713    1.929    3.372    5.713    1.929    6.504   19.265   11.019   23.865   11.563
   3.40   28.023   28.636   28.777    5.892    2.842    3.023    5.892    2.842    8.592   17.815   16.745   25.967   12.957
   3.50   27.700   28.143   28.231    4.973    2.225    2.700    4.973    2.225    6.007   13.427   11.062   18.484    9.203
   3.60   27.696   28.440   28.580    6.465    2.827    2.696    6.465    2.827    7.621   17.428   18.278   28.528   13.190
   3.70   26.665   27.577   27.642    7.036    1.884    1.665    7.036    1.884    3.136   11.712   13.255   27.912    8.982
   3.80   24.709   25.656   25.681    6.905    1.146   -0.291    6.905    1.146   -0.334   -2.010    7.916   24.539    4.087
   3.90   24.091   24.873   24.901    6.186    1.196   -0.909    6.186    1.196   -1.086   -5.621    7.396   20.259    4.676
   4.00   24.812   25.299   25.401    4.941    2.271   -0.188    4.941    2.271   -0.428   -0.931   11.222   14.804    5.634
   4.10   22.182   22.630   22.790    4.481    2.696   -2.818    4.481    2.696   -7.597  -12.627   12.079   17.643    9.527
   4.20   23.806   24.269   24.435    4.715    2.842   -1.194    4.715    2.842   -3.392   -5.629   13.401   15.868    7.463
   4.30   22.856   23.457   23.708    5.274    3.436   -2.144    5.274    3.436   -7.366  -11.306   18.125   22.112   11.298
   4.40   24.988   25.853   26.265    6.632    4.632   -0.012    6.632    4.632   -0.054   -0.077   30.720   32.719   15.360
   4.50   25.145   26.484   26.998    8.314    5.244    0.145    8.314    5.244    0.761    1.207   43.598   48.324   21.811
   4.60   23.810   24.961   25.320    7.492    4.247   -1.190    7.492    4.247   -5.053   -8.915   31.817   37.791   16.713
   4.70   25.036   25.794   25.835    6.207    1.453    0.036    6.207    1.453    0.052    0.223    9.020   20.320    4.512
   4.80   26.629   26.898   27.007    3.792    2.421    1.629    3.792    2.421    3.944    6.179    9.179   11.447    5.873
   4.90   25.312   25.600   25.633    3.831    1.295    0.312    3.831    1.295    0.404    1.194    4.963    8.227    2.560
   5.00   24.334   24.652   24.841    3.946    3.062   -0.666    3.946    3.062   -2.039   -2.628   12.081   12.693    6.265
   5.10   25.681   25.988   26.039    3.981    1.630    0.681    3.981    1.630    1.110    2.712    6.488    9.484    3.559
   5.20   27.359   27.594   27.610    3.593    0.952    2.359    3.593    0.952    2.246    8.476    3.421    9.691    4.706
   5.30   25.939   26.085   26.172    2.761    2.125    0.939    2.761    2.125    1.995    2.592    5.866    6.509    3.358
   5.40   27.068   27.134   27.328    1.891    3.248    2.068    1.891    3.248    6.719    3.912    6.144    9.204    4.955
   5.50   27.214   27.554   27.619    4.312    1.893    2.214    4.312    1.893    4.191    9.548    8.162   13.540    6.621
   5.60   25.981   26.212   26.225    3.473    0.845    0.981    3.473    0.845    0.828    3.405    2.933    6.867    2.285
   5.70   25.604   26.355   26.355    6.246   -0.018    0.604    6.246   -0.018   -0.011    3.772   -0.114   19.689    1.887
   5.80   26.235   27.041   27.135    6.550    2.259    1.235    6.550    2.259    2.791    8.093   14.800   24.769    8.549
   5.90   26.098   26.820   27.068    6.181    3.654    1.098    6.181    3.654    4.011    6.785   22.588   26.383   11.962
   6.00   26.244   27.006   27.178    6.371    3.050    1.244    6.371    3.050    3.794    7.925   19.433   25.721   10.664
   6.10   26.549   27.177   27.259    5.809    2.113    1.549    5.809    2.113    3.272    8.998   12.272   20.305    7.783
   6.20   25.845   26.063   26.213    3.365    2.803    0.845    3.365    2.803    2.368    2.843    9.433    9.948    5.066
   6.30   26.835   27.259   27.319    4.791    1.814    1.835    4.791    1.814    3.328    8.790    8.691   14.806    6.400
   6.40   25.915   26.302   26.302    4.498    0.084    0.915    4.498    0.084    0.077    4.113    0.378   10.537    2.066
   6.50   25.661   26.541   26.541    6.777   -0.016    0.661    6.777   -0.016   -0.011    4.477   -0.109   23.186    2.239
   6.60   26.059   26.778   26.792    6.162    0.873    1.059    6.162    0.873    0.924    6.527    5.378   19.927    4.254
   6.70   24.975   25.585   25.621    5.556    1.347   -0.025    5.556    1.347   -0.034   -0.140    7.486   16.342    3.744
   6.80   23.871   24.750   24.824    6.536    1.915   -1.129    6.536    1.915   -2.161   -7.378   12.515   23.830    7.344
   6.90   25.374   26.148   26.191    6.316    1.502    0.374    6.316    1.502    0.561    2.360    9.489   21.144    4.897
   7.00   26.354   27.402   27.408    7.507    0.536    1.354    7.507    0.536    0.726   10.165    4.023   29.241    5.478
   7.10   26.830   28.465   28.492    9.509    1.230    1.830    9.509    1.230    2.252   17.404   11.698   47.640   10.545
   7.20   27.165   28.616   28.650    8.996    1.402    2.165    8.996    1.402    3.035   19.479   12.611   43.793   11.701
   7.30   27.434   29.309   29.323   10.314    0.922    2.434   10.314    0.922    2.244   25.105    9.510   56.580   13.470
   7.40   26.782   28.373   28.437    9.367    1.914    1.782    9.367    1.914    3.411   16.694   17.925   47.287   12.365
   7.50   25.382   26.818   26.872    8.656    1.706    0.382    8.656    1.706    0.652    3.309   14.770   38.994    7.575
   7.60   25.277   26.812   26.847    8.939    1.376    0.277    8.939    1.376    0.382    2.480   12.304   40.940    6.278
   7.70   26.756   27.625   27.660    6.875    1.386    1.756    6.875    1.386    2.433   12.070    9.529   26.136    7.785
   7.80   27.943   28.987   29.004    7.710    0.982    2.943    7.710    0.982    2.891   22.692    7.573   34.536   12.048
   7.90   26.771   27.853   27.858    7.691    0.486    1.771    7.691    0.486    0.861   13.618    3.738   31.262    7.074
   8.00   24.920   25.981   26.072    7.350    2.174   -0.080    7.350    2.174   -0.175   -0.591   15.977   29.377    7.995
   8.10   25.081   26.252   26.372    7.755    2.510    0.081    7.755    2.510    0.202    0.625   19.463   33.225    9.737
   8.20   27.229   27.950   27.953    6.308    0.417    2.229    6.308    0.417    0.929   14.058    2.630   22.465    7.166
   8.30   25.867   26.271   26.312    4.588    1.465    0.867    4.588    1.465    1.271    3.979    6.721   11.973    3.957
   8.40   24.375   25.051   25.168    5.777    2.429   -0.625    5.777    2.429   -1.517   -3.608   14.030   19.829    7.283
   8.50   25.497   25.810   25.865    4.008    1.694    0.497    4.008    1.694    0.842    1.992    6.788    9.589    3.562
   8.60   26.296   26.634   26.637    4.231    0.410    1.296    4.231    0.410    0.532    5.484    1.737    9.876    2.889
   8.70   27.007   27.197   27.197    3.211    0.093    2.007    3.211    0.093    0.186    6.443    0.298    7.172    3.226
   8.80   24.850   25.437   25.494    5.434   -1.704   -0.150    5.434   -1.704    0.256   -0.815   -9.258   16.229    4.649
   8.90   25.535   26.303   26.417    6.309   -2.447    0.535    6.309   -2.447   -1.310    3.377  -15.440   23.038    7.929
   9.00   24.909   25.356   25.435    4.736   -2.015   -0.091    4.736   -2.015    0.183   -0.429   -9.542   13.247    4.777
   9.10   24.813   25.251   25.458    4.683   -3.237   -0.187    4.683   -3.237    0.605   -0.875  -15.162   16.225    7.600
   9.20   26.188   26.489   26.660    3.983   -3.015    1.188    3.983   -3.015   -3.582    4.731  -12.010   13.183    6.698
   9.30   25.685   26.357   26.373    5.916   -0.926    0.685    5.916   -0.926   -0.634    4.051   -5.477   18.161    3.421
   9.40   26.035   26.622   26.637    5.557   -0.898    1.035    5.557   -0.898   -0.930    5.754   -4.990   16.381    3.837
   9.50   24.283   25.161   25.167    6.591    0.544   -0.717    6.591    0.544   -0.390   -4.727    3.583   22.124    2.972
   9.60   23.329   23.632   23.641    3.770    0.675   -1.671    3.770    0.675   -1.128   -6.300    2.546    8.732    3.444
   9.70   23.985   24.407   24.454    4.517   -1.520   -1.015    4.517   -1.520    1.542   -4.583   -6.866   11.871    4.199
   9.80   24.652   25.282   25.315    5.609   -1.291   -0.348    5.609   -1.291    0.450   -1.953   -7.241   16.624    3.756
   9.90   24.543   25.012   25.097    4.819   -2.062   -0.457    4.819   -2.062    0.942   -2.200   -9.939   13.844    5.112
  10.00   24.934   25.782   25.871    6.557   -2.138   -0.066    6.557   -2.138    0.140   -0.431  -14.018   23.787    7.013
  10.10   24.722   25.587   25.647    6.596   -1.749   -0.278    6.596   -1.749    0.486   -1.831  -11.538   23.321    5.846
  10.20   25.577   26.410   26.420    6.580   -0.749    0.577    6.580   -0.749   -0.432    3.796   -4.927   22.098    3.117
  10.30   26.734   27.973   27.975    8.233   -0.326    1.734    8.233   -0.326   -0.565   14.275   -2.685   35.449    7.268
  10.40   27.512   29.033   29.041    9.272    0.692    2.512    9.272    0.692    1.740   23.295    6.421   46.383   12.113
  10.50   27.168   28.232   28.303    7.679    2.008    2.168    7.679    2.008    4.352   16.645   15.415   33.845   11.550
  10.60   28.484   29.327   29.375    6.981    1.691    3.484    6.981    1.691    5.890   24.321   11.804   31.867   13.834
  10.70   27.949   28.539   28.540    5.774    0.105    2.949    5.774    0.105    0.309   17.029    0.604   21.026    8.521
  10.80   25.845   26.382   26.384    5.298    0.286    0.845    5.298    0.286    0.242    4.477    1.515   14.431    2.366
  10.90   26.054   26.498   26.543    4.833    1.535    1.054    4.833    1.535    1.618    5.092    7.419   13.411    4.572
  11.00   25.464   25.914   25.943    4.809    1.234    0.464    4.809    1.234    0.573    2.231    5.936   12.433    3.184
  11.10   25.526   25.994   26.034    4.909    1.441    0.526    4.909    1.441    0.758    2.583    7.073   13.223    3.784
  11.20   24.516   25.121   25.130    5.479    0.664   -0.484    5.479    0.664   -0.321   -2.649    3.637   15.346    2.256
  11.30   24.408   25.526   25.714    7.470    3.110   -0.592    7.470    3.110   -1.840   -4.420   23.228   32.910   11.858
  11.40   25.334   26.339   26.590    7.205    3.645    0.334    7.205    3.645    1.219    2.410   26.264   32.654   13.201
  11.50   25.120   26.351   26.576    7.959    3.447    0.120    7.959    3.447    0.415    0.959   27.433   37.619   13.727
  11.60   25.141   26.194   26.321    7.354    2.575    0.141    7.354    2.575    0.363    1.037   18.938   30.365    9.485
  11.70   25.550   26.601   26.788    7.405    3.162    0.550    7.405    3.162    1.738    4.070   23.412   32.566   11.913
  11.80   26.013   26.700   26.916    6.017    3.403    1.013    6.017    3.403    3.448    6.097   20.474   24.405   10.820
  11.90   26.308   26.999   27.051    6.071    1.669    1.308    6.071    1.669    2.182    7.940   10.131   20.678    6.528
  12.00   27.097   28.161   28.446    7.667    4.018    2.097    7.667    4.018    8.426   16.080   30.804   39.663   17.878
  12.10   27.212   28.431   28.551    8.235    2.624    2.212    8.235    2.624    5.803   18.215   21.607   39.799   14.425
  12.20   26.554   27.294   27.304    6.314    0.749    1.554    6.314    0.749    1.164    9.811    4.728   21.420    5.476
  12.30   26.480   26.997   27.107    5.262    2.433    1.480    5.262    2.433    3.600    7.786   12.800   17.896    7.704
  12.40   25.887   26.597   26.735    6.104    2.721    0.887    6.104    2.721    2.412    5.412   16.606   22.722    8.816
  12.50   26.930   27.573   27.598    5.921    1.171    1.930    5.921    1.171    2.259   11.424    6.930   20.074    6.776
  12.60   26.794   27.610   27.746    6.664    2.739    1.794    6.664    2.739    4.914   11.954   18.255   27.565   11.184
  12.70   27.587   28.209   28.253    5.891    1.587    2.587    5.891    1.587    4.106   15.239    9.353   21.960    9.173
  12.80   27.974   28.351   28.396    4.611    1.600    2.974    4.611    1.600    4.758   13.711    7.377   16.330    8.140
  12.90   25.905   26.087   26.114    3.075    1.177    0.905    3.075    1.177    1.065    2.783    3.618    5.829    2.344
  13.00   25.765   26.064   26.078    3.937    0.828    0.765    3.937    0.828    0.633    3.013    3.258    8.385    2.242
  13.10   24.653   24.974   24.989    3.996    0.862   -0.347    3.996    0.862   -0.300   -1.388    3.446    8.418    1.864
  13.20   25.625   26.240   26.240    5.648    0.141    0.625    5.648    0.141    0.088    3.529    0.795   16.154    1.809
  13.30   26.233   26.954   26.967    6.192   -0.815    1.233    6.192   -0.815   -1.005    7.637   -5.045   20.261    4.604
  13.40   26.441   27.096   27.096    5.923   -0.062    1.441    5.923   -0.062   -0.090    8.534   -0.368   18.583    4.271
  13.50   25.638   26.228   26.234    5.531    0.563    0.638    5.531    0.563    0.359    3.528    3.115   15.656    2.360
  13.60   26.620   26.911   26.931    3.952    1.038    1.620    3.952    1.038    1.682    6.400    4.103    9.659    3.893
  13.70   26.323   26.517   26.543    3.197    1.175    1.323    3.197    1.175    1.555    4.231    3.757    6.677    2.934
  13.80   24.775   24.893   24.983    2.412    2.126   -0.225    2.412    2.126   -0.477   -0.542    5.127    5.193    2.589
  13.90   22.532   22.600   22.668    1.749    1.764   -2.468    1.749    1.764   -4.354   -4.317    3.086    6.132    3.432
  14.00   23.340   23.354   23.385    0.787    1.215   -1.660    0.787    1.215   -2.017   -1.306    0.957    2.426    1.293
  14.10   24.305   24.310   24.370   -0.470    1.716   -0.695   -0.470    1.716   -1.192    0.326   -0.806    1.823    0.738
  14.20   23.405   23.407   23.706   -0.291    3.755   -1.595   -0.291    3.755   -5.988    0.464   -1.093    8.363    3.053
  14.30   22.610   22.632   22.839    0.994    3.067   -2.390    0.994    3.067   -7.330   -2.375    3.048    8.053    4.143
  14.40   24.437   24.484   24.744    1.513    3.578   -0.563    1.513    3.578   -2.015   -0.852    5.412    7.704    2.919
  14.50   23.965   23.967   24.159    0.263    3.042   -1.035    0.263    3.042   -3.147   -0.272    0.800    5.198    1.629
  14.60   23.336   23.338   23.457    0.235    2.367   -1.664    0.235    2.367   -3.938   -0.391    0.556    4.214    1.998
  14.70   24.182   24.185   24.495    0.372    3.888   -0.818    0.372    3.888   -3.180   -0.304    1.445    7.963    1.753
  14.80   23.692   23.704   24.124    0.736    4.483   -1.308    0.736    4.483   -5.864   -0.962    3.299   11.177    3.398
  14.90   22.182   22.195   22.451   -0.764    3.375   -2.818   -0.764    3.375   -9.510    2.154   -2.580    9.958    5.043
  15.00   23.395   23.428   23.810   -1.229    4.249   -1.605   -1.229    4.249   -6.818    1.972   -5.222   11.070    4.406
  15.10   24.145   24.188   24.619   -1.447    4.586   -0.855   -1.447    4.586   -3.922    1.237   -6.634   11.927    3.903
  15.20   24.090   24.191   24.451   -2.209    3.555   -0.910   -2.209    3.555   -3.236    2.010   -7.853    9.174    4.364
  15.30   27.190   27.306   27.658   -2.513    4.397    2.190   -2.513    4.397    9.629   -5.504  -11.049   15.222    7.828
  15.40   27.243   27.373   27.880   -2.669    5.291    2.243   -2.669    5.291   11.866   -5.985  -14.122   20.075    9.696
  15.50   26.283   26.284   26.504   -0.157    3.410    1.283   -0.157    3.410    4.376   -0.202   -0.536    6.649    2.207
  15.60   25.419   25.449   25.529   -1.246    2.011    0.419   -1.246    2.011    0.843   -0.522   -2.507    2.887    1.348
  15.70   24.577   24.710   24.726   -2.561    0.896   -0.423   -2.561    0.896   -0.379    1.083   -2.294    3.770    1.283
  15.80   24.602   24.712   24.761   -2.326    1.563   -0.398   -2.326    1.563   -0.622    0.925   -3.635    4.005    1.901
  15.90   25.092   25.173   25.316   -2.009    2.690    0.092   -2.009    2.690    0.249   -0.186   -5.405    5.640    2.707
  16.00   25.641   25.722   25.845   -2.037    2.518    0.641   -2.037    2.518    1.614   -1.306   -5.130    5.451    2.767
  16.10   24.742   24.792   24.803   -1.574    0.757   -0.258   -1.574    0.757   -0.195    0.407   -1.191    1.559    0.637
  16.20   24.041   24.052   24.054   -0.711    0.324   -0.959   -0.711    0.324   -0.311    0.682   -0.230    0.765    0.392
  16.30   23.203   23.225   23.256   -1.009    1.187   -1.797   -1.009    1.187   -2.133    1.812   -1.198    2.827    1.522
  16.40   24.488   24.489   24.503    0.085    0.853   -0.512    0.085    0.853   -0.436   -0.044    0.073    0.498    0.222
  16.50   25.334   25.342   25.354    0.651    0.773    0.334    0.651    0.773    0.258    0.217    0.503    0.566    0.303
  16.60   25.593   25.631   25.633    1.393   -0.381    0.593    1.393   -0.381   -0.226    0.825   -0.530    1.218    0.503
  16.70   26.261   26.266   26.291    0.544    1.135    1.261    0.544    1.135    1.431    0.685    0.617    1.587    0.851
  16.80   26.743   26.749   26.761    0.562    0.812    1.743    0.562    0.812    1.415    0.980    0.456    2.007    0.890
  16.90   26.686   26.712   26.736    1.169    1.140    1.686    1.169    1.140    1.922    1.971    1.333    2.755    1.529
  17.00   27.200   27.412   27.518    3.400    2.413    2.200    3.400    2.413    5.310    7.480    8.204   11.111    6.153
  17.10   26.596   26.820   26.935    3.460    2.483    1.596    3.460    2.483    3.963    5.522    8.591   10.342    5.477
  17.20   24.636   24.911   24.940    3.695    1.191   -0.364    3.695    1.191   -0.434   -1.345    4.402    7.602    2.312
  17.30   24.906   25.134   25.138    3.380   -0.444   -0.094    3.380   -0.444    0.042   -0.318   -1.502    5.815    0.768
  17.40   25.096   25.096   25.096    0.144   -0.052    0.096    0.144   -0.052   -0.005    0.014   -0.007    0.016    0.008
  17.50   25.910   25.915   25.926    0.553   -0.734    0.910    0.553   -0.734   -0.668    0.503   -0.406    0.836    0.465
  17.60   25.999   26.031   26.087    1.287   -1.716    0.999    1.287   -1.716   -1.714    1.286   -2.209    2.799    1.539
  17.70   25.433   25.437   25.467    0.455   -1.235    0.433    0.455   -1.235   -0.535    0.197   -0.562    0.960    0.400
  17.80   25.705   25.721   25.722    0.904    0.252    0.705    0.904    0.252    0.178    0.637    0.228    0.689    0.350
  17.90   25.224   25.286   25.286    1.769   -0.014    0.224    1.769   -0.014   -0.003    0.396   -0.024    1.590    0.198
  18.00   25.678   25.703   25.714    1.131    0.731    0.678    1.131    0.731    0.496    0.767    0.827    1.137    0.616
  18.10   25.026   25.068   25.092    1.446   -1.099    0.026    1.446   -1.099   -0.029    0.038   -1.589    1.649    0.795
  18.20   25.182   25.304   25.306    2.480    0.333    0.182    2.480    0.333    0.061    0.453    0.825    3.148    0.471
  18.30   23.760   23.790   23.791    1.187    0.208   -1.240    1.187    0.208   -0.258   -1.472    0.247    1.495    0.758
  18.40   23.284   23.285   23.303   -0.108    0.923   -1.716   -0.108    0.923   -1.584    0.185   -0.099    1.904    0.799
  18.50   21.647   21.647   21.788   -0.174    2.469   -3.353   -0.174    2.469   -8.279    0.584   -0.430    8.685    4.156
  18.60   23.844   23.971   24.133    2.469    2.787   -1.156    2.469    2.787   -3.222   -2.854    6.881    7.599    4.058
  18.70   23.349   23.435   23.523    2.009    2.028   -1.651    2.009    2.028   -3.348   -3.317    4.075    5.438    3.115
  18.80   22.987   23.014   23.116    1.126    2.169   -2.013    1.126    2.169   -4.367   -2.268    2.444    5.014    2.747
  18.90   22.997   23.063   23.123    1.750    1.657   -2.003    1.750    1.657   -3.320   -3.507    2.901    4.912    2.817
  19.00   24.749   25.067   25.115    3.980    1.555   -0.251    3.980    1.555   -0.391   -1.001    6.187    9.159    3.140
