
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:35:57.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00   17.291   17.296   17.315    0.394    0.815    0.291    0.394    0.815    0.238    0.115    0.321    0.453    0.208
   0.10   17.856   17.857   17.986    0.141    2.154    0.856    0.141    2.154    1.845    0.121    0.304    2.697    0.937
   0.20   17.354   17.355   17.494   -0.188    2.203    0.354   -0.188    2.203    0.780   -0.067   -0.415    2.506    0.443
   0.30   17.168   17.180   17.404   -0.637    2.784    0.168   -0.637    2.784    0.469   -0.107   -1.774    4.092    0.919
   0.40   17.557   17.569   17.882    0.652    3.330    0.557    0.652    3.330    1.856    0.363    2.172    5.913    1.440
   0.50   17.863   17.872   18.185    0.546    3.363    0.863    0.546    3.363    2.903    0.471    1.836    6.177    1.734
   0.60   17.222   17.222   17.539    0.028    3.318    0.222    0.028    3.318    0.737    0.006    0.092    5.530    0.372
   0.70   17.913   17.914   18.239    0.183    3.430    0.913    0.183    3.430    3.132    0.167    0.628    6.315    1.599
   0.80   18.257   18.273   18.485   -0.752    2.795    1.257   -0.752    2.795    3.514   -0.945   -2.102    4.980    2.101
   0.90   17.853   17.856   18.066   -0.302    2.751    0.853   -0.302    2.751    2.347   -0.257   -0.830    4.193    1.251
   1.00   17.635   17.636   17.764    0.168    2.128    0.635    0.168    2.128    1.352    0.107    0.357    2.481    0.701
   1.10   17.448   17.448   17.525   -0.007    1.640    0.448   -0.007    1.640    0.734   -0.003   -0.012    1.445    0.367
   1.20   16.909   16.913   16.928    0.393    0.706   -0.091    0.393    0.706   -0.064   -0.036    0.277    0.331    0.144
   1.30   17.158   17.214   17.274    1.381    1.440    0.158    1.381    1.440    0.228    0.218    1.989    2.003    1.007
   1.40   16.258   16.346   16.346    1.693    0.004   -0.742    1.693    0.004   -0.003   -1.256    0.006    1.709    0.628
   1.50   16.551   16.551   16.607   -0.030   -1.359   -0.449   -0.030   -1.359    0.610    0.014    0.041    1.025    0.306
   1.60   16.777   16.819   16.847   -1.185   -0.976   -0.223   -1.185   -0.976    0.218    0.264    1.157    1.204    0.603
   1.70   16.491   16.583   16.583   -1.745    0.070   -0.509   -1.745    0.070   -0.036    0.888   -0.122    1.655    0.449
   1.80   16.149   16.209   16.227   -1.392    0.755   -0.851   -1.392    0.755   -0.643    1.184   -1.051    1.616    0.855
