
This hub-height turbulence-parameter file was generated by TurbSim (from OpenFAST-Unversioned from 08fffef240461a8334596179f1de462be43ad3e9) on 10-Oct-2023 at 13:28:46.

   Time      U       Uh       Ut        V        W        u'       v'       w'      u'w'     u'v'     v'w'     TKE      CTKE
   0.00    6.588    6.588    6.588   -0.040   -0.031   -2.412   -0.040   -0.031    0.076    0.095    0.001    2.911    0.061
   0.10    6.159    6.221    6.222    0.878   -0.089   -2.841    0.878   -0.089    0.252   -2.493   -0.078    4.425    1.254
   0.20    6.416    6.462    6.466    0.768   -0.229   -2.584    0.768   -0.229    0.592   -1.984   -0.176    3.659    1.039
   0.30    6.147    6.147    6.199   -0.099   -0.796   -2.853   -0.099   -0.796    2.271    0.284    0.079    4.393    1.145
   0.40    5.672    5.680    5.700    0.292   -0.474   -3.328    0.292   -0.474    1.579   -0.970   -0.138    5.692    0.929
   0.50    5.794    5.799    5.801    0.237   -0.154   -3.206    0.237   -0.154    0.492   -0.760   -0.036    5.178    0.453
   0.60    5.889    5.897    5.923    0.322   -0.556   -3.111    0.322   -0.556    1.730   -1.002   -0.179    5.047    1.003
   0.70    5.977    5.980    6.086    0.193   -1.130   -3.023    0.193   -1.130    3.417   -0.584   -0.218    5.227    1.737
   0.80    5.941    6.110    6.229    1.429   -1.212   -3.059    1.429   -1.212    3.709   -4.372   -1.733    6.436    2.995
   0.90    5.995    6.117    6.245    1.214   -1.258   -3.005    1.214   -1.258    3.782   -3.649   -1.528    6.044    2.736
   1.00    5.867    5.955    6.145    1.017   -1.517   -3.133    1.017   -1.517    4.753   -3.186   -1.543    6.575    2.963
   1.10    5.972    5.978    6.090    0.261   -1.165   -3.028    0.261   -1.165    3.527   -0.792   -0.305    5.297    1.814
   1.20    6.007    6.066    6.168    0.844   -1.114   -2.993    0.844   -1.114    3.335   -2.526   -0.941    5.455    2.144
   1.30    6.259    6.396    6.517    1.317   -1.250   -2.741    1.317   -1.250    3.425   -3.609   -1.645    5.403    2.620
   1.40    7.241    7.461    7.529    1.797   -1.010   -1.759    1.797   -1.010    1.776   -3.161   -1.815    3.672    2.027
   1.50    6.767    7.047    7.234    1.964   -1.635   -2.233    1.964   -1.635    3.650   -4.385   -3.211    5.758    3.274
   1.60    7.003    7.153    7.352    1.457   -1.701   -1.997    1.457   -1.701    3.397   -2.910   -2.478    4.502    2.557
   1.70    7.297    7.398    7.557    1.218   -1.539   -1.703    1.218   -1.539    2.622   -2.075   -1.875    3.377    1.917
   1.80    6.950    7.121    7.296    1.553   -1.588   -2.050    1.553   -1.588    3.255   -3.183   -2.466    4.568    2.589
   1.90    6.814    6.887    7.077    0.997   -1.630   -2.186    0.997   -1.630    3.563   -2.180   -1.625    4.215    2.241
   2.00    6.651    6.703    6.807    0.829   -1.190   -2.349    0.829   -1.190    2.794   -1.948   -0.986    3.810    1.773
   2.10    6.628    6.782    6.920    1.438   -1.373   -2.372    1.438   -1.373    3.256   -3.409   -1.973    4.788    2.555
   2.20    6.979    7.028    7.128    0.828   -1.189   -2.021    0.828   -1.189    2.402   -1.674   -0.984    3.091    1.544
   2.30    6.828    6.850    6.900    0.560   -0.826   -2.172    0.560   -0.826    1.794   -1.216   -0.462    2.857    1.108
   2.40    6.934    6.954    7.024    0.530   -0.990   -2.066    0.530   -0.990    2.046   -1.095   -0.525    2.765    1.189
   2.50    7.696    7.709    7.774    0.453   -0.999   -1.304    0.453   -0.999    1.303   -0.591   -0.453    1.452    0.750
   2.60    7.938    7.967    7.991    0.683   -0.615   -1.062    0.683   -0.615    0.653   -0.726   -0.420    0.987    0.532
   2.70    7.933    7.974    8.035    0.804   -0.992   -1.067    0.804   -0.992    1.058   -0.858   -0.798    1.384    0.789
   2.80    7.346    7.392    7.433    0.825   -0.776   -1.654    0.825   -0.776    1.284   -1.365   -0.640    2.010    0.990
   2.90    6.854    6.861    6.890    0.305   -0.636   -2.146    0.305   -0.636    1.365   -0.655   -0.194    2.552    0.763
   3.00    7.765    7.768    7.775    0.238   -0.313   -1.235    0.238   -0.313    0.387   -0.294   -0.074    0.840    0.246
   3.10    8.197    8.198    8.220    0.128   -0.613   -0.803    0.128   -0.613    0.492   -0.103   -0.079    0.519    0.254
   3.20    8.460    8.464    8.473   -0.246   -0.382   -0.540   -0.246   -0.382    0.206    0.133    0.094    0.249    0.131
   3.30    8.283    8.284    8.340    0.107   -0.961   -0.717    0.107   -0.961    0.689   -0.077   -0.103    0.724    0.350
   3.40    8.837    8.837    8.984   -0.007   -1.618   -0.163   -0.007   -1.618    0.264    0.001    0.012    1.322    0.132
   3.50    8.526    8.526    8.594    0.018   -1.076   -0.474    0.018   -1.076    0.510   -0.009   -0.020    0.692    0.255
   3.60    8.549    8.550    8.616   -0.108   -1.064   -0.451   -0.108   -1.064    0.479    0.049    0.115    0.674    0.248
   3.70    8.952    8.962    9.107    0.406   -1.619   -0.048    0.406   -1.619    0.077   -0.019   -0.658    1.394    0.331
   3.80    9.323    9.325    9.445   -0.148   -1.505    0.323   -0.148   -1.505   -0.487   -0.048    0.222    1.195    0.269
   3.90    8.794    8.799    8.881   -0.293   -1.203   -0.206   -0.293   -1.203    0.247    0.060    0.353    0.788    0.218
   4.00    8.396    8.397    8.536   -0.118   -1.539   -0.604   -0.118   -1.539    0.930    0.071    0.182    1.373    0.475
   4.10    9.029    9.030    9.200   -0.116   -1.760    0.029   -0.116   -1.760   -0.052   -0.003    0.205    1.557    0.106
   4.20    9.290    9.292    9.410    0.225   -1.484    0.290    0.225   -1.484   -0.430    0.065   -0.333    1.169    0.274
   4.30    8.923    8.923    9.010    0.044   -1.246   -0.077    0.044   -1.246    0.096   -0.003   -0.055    0.780    0.055
   4.40    9.138    9.138    9.293    0.091   -1.691    0.138    0.091   -1.691   -0.233    0.012   -0.153    1.444    0.140
   4.50    9.022    9.029    9.249   -0.370   -2.005    0.022   -0.370   -2.005   -0.044   -0.008    0.742    2.079    0.372
   4.60    8.926    8.933    9.128   -0.349   -1.878   -0.074   -0.349   -1.878    0.139    0.026    0.656    1.827    0.336
   4.70    9.498    9.501    9.600    0.241   -1.376    0.498    0.241   -1.376   -0.685    0.120   -0.331    1.100    0.385
   4.80    9.554    9.582    9.645    0.724   -1.100    0.554    0.724   -1.100   -0.610    0.401   -0.797    1.021    0.540
   4.90    9.291    9.415    9.484    1.519   -1.148    0.291    1.519   -1.148   -0.335    0.443   -1.743    1.854    0.915
   5.00    9.269    9.423    9.457    1.697   -0.797    0.269    1.697   -0.797   -0.215    0.457   -1.352    1.794    0.722
   5.10    9.777    9.884    9.947    1.450   -1.110    0.777    1.450   -1.110   -0.863    1.127   -1.610    1.970    1.073
   5.20    9.651    9.685    9.726    0.806   -0.894    0.651    0.806   -0.894   -0.582    0.525   -0.721    0.937    0.533
   5.30    9.113    9.153    9.223    0.853   -1.134    0.113    0.853   -1.134   -0.128    0.097   -0.968    1.014    0.491
   5.40    9.187    9.277    9.312    1.292   -0.802    0.187    1.292   -0.802   -0.150    0.241   -1.036    1.173    0.537
   5.50    9.329    9.503    9.540    1.810   -0.838    0.329    1.810   -0.838   -0.276    0.596   -1.517    2.043    0.827
   5.60    9.242    9.461    9.504    2.022   -0.910    0.242    2.022   -0.910   -0.220    0.489   -1.839    2.487    0.958
   5.70    9.498    9.593    9.635    1.348   -0.891    0.498    1.348   -0.891   -0.444    0.671   -1.201    1.429    0.723
   5.80    9.902   10.000   10.037    1.396   -0.867    0.902    1.396   -0.867   -0.781    1.259   -1.209    1.756    0.956
